Título;Ano;Nota IMDb;Gênero;País de Origem;Idioma;;;;;
Breakthrough;2019;6,3;Medical Drama, Biography, Drama;United States, Canada;English;;;;;
Judy;2019;6,8;Docudrama, Period Drama, Biography, Drama, Music, Romance;United Kingdom, France, United States;English;;;;;
Fighting with My Family;2019;7;Docudrama, Biography, Comedy, Drama, Sport;United Kingdom, United States;English;;;;;
Hellboy;2019;5,3;Dark Fantasy, Superhero, Action, Adventure, Fantasy, Horror, SciFi;United States, United Kingdom, Bulgaria, Canada, Portugal, France;English, Spanish, Russian, German;;;;;
The Song of Names;2019;6,5;Drama, Music, Mystery, War;Canada, Hungary;English, Hebrew, Polish, Italian;;;;;
The Climbers;2019;5,5;Action, Adventure, Drama, History;China;Mandarin, Tibetan;;;;;
Les Misérables;2019;7,6;Crime, Drama, Thriller;France;French, Bambara;;;;;
Sonchiriya;2019;7,9;Action, Crime, Drama, Western;India;Hindi;;;;;
End of the Century;2019;6,8;Drama;Argentina;Spanish, Catalan;;;;;
John Fogerty: 50 Year Trip - Live at Red Rocks;2019;7;Music;;;;;;;
Sympathy for the Devil;2019;7,5;War;France, Canada, Belgium;English, French;;;;;
I Was at Home, But...;2019;5,5;Drama;Germany, Serbia;German;;;;;
The Hottest August;2019;6,4;Documentary;Canada, United States;English;;;;;
Without a Paddle;2004;5,8;Slapstick, Adventure, Comedy, Mystery;United States, New Zealand;English;;;;;
The Clearing;2004;5,8;Drama, Mystery, Thriller;United Kingdom, Germany, United States;English;;;;;
Club Dread;2004;5,7;Parody, Satire, Slasher Horror, Comedy, Horror, Mystery, Thriller;United States, Mexico;English;;;;;
Spartan;2004;6,5;Dark Comedy, Spy, Action, Crime, Drama, Mystery, Thriller;Germany, United States;English, Russian, Swedish;;;;;
The Beautiful Country;2004;7,4;Drama;Norway, United States;Vietnamese, English, Mandarin, Cantonese, Malay;;;;;
Primer;2004;6,7;Time Travel, Drama, SciFi, Thriller;United States;English, French;;;;;
Be Here to Love Me;2004;7,8;Music Documentary, Biography, Documentary, Music;United States;English;;;;;
Poster Boy;2004;6;Drama;United States;English;;;;;
Hom rong;2004;7,9;Biography, Drama, History, Music;Thailand;Thai;;;;;
Cube Zero;2004;5,6;Drama, Mystery, SciFi, Thriller;Canada;English, French, Spanish;;;;;
The Life and Death of Peter Sellers;2004;6,9;Biography, Comedy, Drama, Romance;United Kingdom, United States;English;;;;;
The Lizard;2004;8,4;Satire, Comedy, Drama;Iran;Persian;;;;;
The Last Sunset;1961;6,7;Classical Western, Drama, Romance, Western;United States;English, Spanish;;;;;
The Devil at 4 O'Clock;1961;6,4;Disaster, Adventure, Drama, Thriller;United States;English, French;;;;;
Gold of the Seven Saints;1961;6,4;Adventure, Western;United States;English, Spanish;;;;;
Honeymoon of Terror;1961;4,5;Horror, Thriller;United States;English;;;;;
Johnny Nobody;1961;6,3;Crime, Drama, Mystery;United Kingdom;English;;;;;
A Matter of WHO;1961;6,2;Comedy, Crime, Drama, Mystery;United Kingdom;English;;;;;
The Nanny Diaries;2007;6,2;Comedy, Drama, Romance;United States;English, French, Spanish;;;;;
Run Fatboy Run;2007;6,5;Comedy, Romance, Sport;United Kingdom, United States;English;;;;;
Resurrecting the Champ;2007;6,7;Boxing, Drama, Sport;United States;English, Spanish;;;;;
The 11th Hour;2007;7,2;Science  Technology Documentary, Documentary;United States;English;;;;;
Paranoid Park;2007;6,6;ComingofAge, Teen Drama, Crime, Drama, Mystery;France, United States;English, French;;;;;
Aaja Nachle;2007;6,2;Drama, Family, Music, Romance;India;Hindi;;;;;
Goal II: Living the Dream;2007;5,8;Soccer, Drama, Sport;United Kingdom, Spain, Germany;English, Spanish;;;;;
Buddha Mar Gaya;2007;3;Dark Comedy, Comedy;India;Hindi;;;;;
Death Defying Acts;2007;5,8;Period Drama, Psychological Thriller, Tragedy, Drama, History, Romance, Thriller;United Kingdom, Australia, United States;English, Hungarian;;;;;
Heavy Metal in Baghdad;2007;7,6;Documentary, Music, War;Canada, United States;English, Arabic;;;;;
The Mirror Crack'd;1980;6,2;Suspense Mystery, Whodunnit, Crime, Mystery, Thriller;United Kingdom;English;;;;;
Motel Hell;1980;6;Dark Comedy, Parody, Comedy, Horror, Thriller;United States;English;;;;;
Heaven's Gate;1980;6,7;Costume Drama, Epic, Period Drama, Western Epic, Adventure, Drama, Western;United States;English, SerboCroatian, Russian, French, Polish, German, Ukrainian;;;;;
Midnight Madness;1980;6,3;Comedy;United States;English;;;;;
A Small Circle of Friends;1980;5,9;Drama;United States;English;;;;;
Pixote;1980;7,9;Crime, Drama;Brazil;Portuguese, English;;;;;
Death Ship;1980;4,8;Adventure, Horror, Mystery, Thriller;United Kingdom, Canada;English, German;;;;;
Defiance;1980;6,1;Action, Crime, Drama;United States;English;;;;;
Khubsoorat;1980;7,6;Comedy, Drama, Family;India;Hindi;;;;;
La tía Alejandra;1980;7;Drama, Horror, Mystery;Mexico;Spanish;;;;;
Satan's Slave;1980;5,6;Horror;Indonesia;Indonesian;;;;;
The Godsend;1980;5,3;Drama, Horror;United Kingdom;English;;;;;
Hog Wild;1980;4,7;Comedy;Canada;English;;;;;
Good Riddance;1980;8;Drama;Canada;French;;;;;
Let There Be Light;1980;7,4;Documentary, War;United States;English;;;;;
The Pilot;1980;6,4;Action, Drama;United States;English;;;;;
Drive-Away Dolls;2024;5,4;Buddy Comedy, Quirky Comedy, Road Trip, Action, Comedy, Thriller;United Kingdom, United States;English;;;;;
Oddity;2024;6,7;Supernatural Horror, Horror, Thriller;Ireland, United States;English;;;;;
Escape;2024;6,4;Action, Adventure, Thriller;South Korea;Korean;;;;;
DarkGame;2024;4,7;Horror, Thriller;United Kingdom;English;;;;;
Wolfs;2024;6,5;Crime, Thriller;United Kingdom, United States;English;;;;;
The Children's Train;2024;7,4;Period Drama, Drama, History;Italy;Italian;;;;;
Outbreak;2024;4,4;Horror, Mystery, Thriller;United States;English;;;;;
Believe in Christmas;2024;6,1;Holiday Romance, Comedy, Family, Romance;Canada;English;;;;;
Descendants: The Rise of Red;2024;4,7;Adventure Epic, Fantasy Epic, Quest, Superhero, Teen Adventure, Teen Fantasy, Action, Adventure, Family, Fantasy;United States;English;;;;;
The Price of Money: A Largo Winch Adventure;2024;5,1;Action, Adventure, Drama, Mystery, Thriller;France, Belgium;French, English;;;;;
Let Go;2024;7;Drama;Sweden;Swedish;;;;;
No Other Land;2024;8,3;Documentary;Occupied Palestinian Territory, Norway;Arabic;;;;;
Grand Canyon;1991;6,8;Crime, Drama;United States;English, Spanish;;;;;
Double Impact;1991;5,6;BAction, Action, Crime;United States;English, Cantonese, French;;;;;
Return to the Blue Lagoon;1991;5,2;ComingofAge, Period Drama, Survival, Teen Romance, Adventure, Drama, Romance;United States;English;;;;;
Prospero's Books;1991;6,8;Drama, Fantasy;United Kingdom, Netherlands, France, Italy, Japan;English;;;;;
I Can No Longer Hear the Guitar;1991;6,8;Drama;France;French;;;;;
Alligator II: The Mutation;1991;4;Horror, SciFi;United States;English;;;;;
Body Chemistry II: The Voice of a Stranger;1991;3,6;Erotic Thriller, Psychological Thriller, Drama, Thriller;United States;English;;;;;
100 Days Before the Command;1991;5,3;Drama;Soviet Union;Russian;;;;;
Patthar Ke Phool;1991;5,5;Action, Drama, Romance;India;Hindi;;;;;
Happy Hell Night;1991;4,8;Slasher Horror, Horror, Mystery, Thriller;Canada, Yugoslavia;English;;;;;
Piano Piano Kid;1991;7,7;Comedy, Drama, Family;Turkey;Turkish;;;;;
Aakhri Cheekh;1991;5,2;Horror;India;Hindi;;;;;
Killer Tomatoes Strike Back!;1991;3,8;Parody, Comedy;United States;English;;;;;
Highway Patrolman;1991;7,1;Crime, Drama;Mexico, Japan;Spanish;;;;;
Indiana Jones and the Last Crusade;1989;8,2;Adventure Epic, Desert Adventure, Globetrotting Adventure, Quest, Action, Adventure;United States;English, German, Greek, Latin, Italian;;;;;
Transylvania Twist;1989;5,3;Parody, Comedy, Fantasy, Horror;United States;English;;;;;
A Soldier's Tale;1989;5,9;Drama, Romance, War;New Zealand;English;;;;;
Little Fockers;2010;5,5;Comedy, Romance;United States;English, Ukrainian;;;;;
Dylan Dog: Dead of Night;2010;5,1;Dark Comedy, Vampire Horror, Action, Comedy, Crime, Fantasy, Horror, Mystery, Thriller;United States;English;;;;;
Rare Exports;2010;6,6;Dark Comedy, Adventure, Fantasy, Horror;Finland, Norway, France, Sweden;Finnish, English;;;;;
Uncle Boonmee Who Can Recall His Past Lives;2010;6,7;Drama, Fantasy;Thailand, United Kingdom, France, Germany, Spain, Netherlands;Thai, French, Lao;;;;;
High School;2010;5,7;Comedy;United States;English;;;;;
To Catch a Dollar: Muhammad Yunus Banks on America;2010;7,8;Biography, Documentary, Drama;United States;English;;;;;
Ong Bak 3;2010;4,9;Martial Arts, Action;Thailand;Thai;;;;;
Windfall;2010;5,5;Documentary, Drama;United States;English;;;;;
Austin Powers in Goldmember;2002;6,2;Parody, Slapstick, Action, Adventure, Comedy, Crime;United States;English, Japanese, German, French;;;;;
Reign of Fire;2002;6,2;Dark Fantasy, Action, Adventure, Fantasy, Thriller;United States;English;;;;;
Enough;2002;5,8;Crime, Drama, Thriller;United States;English;;;;;
Sorority Boys;2002;5,5;Teen Comedy, Comedy;United States;English, Indonesian;;;;;
8 Women;2002;7;Comedy, Crime, Musical, Romance;France, Italy;French;;;;;
Heaven;2002;6,9;Crime, Drama, Romance, Thriller;United Kingdom, France, Italy, Germany, United States;Italian, English;;;;;
Zhou Yu's Train;2002;6,4;Drama, Romance;China, Hong Kong;Mandarin;;;;;
The 4th Tenor;2002;5;Comedy, Music, Romance;United States;English;;;;;
The Lord of the Rings;1978;6,2;Adventure Epic, Dark Fantasy, HandDrawn Animation, Sword  Sorcery, Adventure, Animation, Fantasy;United States, United Kingdom;English, Sindarin;;;;;
Caravans;1978;5,9;Action, Adventure, History;Iran, United States;English, Persian;;;;;
Teen Lust;1978;4;Comedy;United States;English;;;;;
Fearless;1978;5,6;Action, Crime, Thriller;Italy, Austria;Italian;;;;;
Liebesgr�ße aus der Lederhose, 5. Teil: Die Bruchpiloten vom Königssee;1978;4,4;Comedy;West Germany;German;;;;;
Picardía Mexicana;1978;7,1;Comedy, Drama;Mexico;Spanish;;;;;
Sigappu Rojakkal;1978;7,8;Drama, Thriller;India;Tamil;;;;;
The Prophet, the Gold and the Transylvanians;1978;7,5;Comedy, Western;Romania, Czechoslovakia;Romanian, English;;;;;
Silver Saddle;1978;6,1;Spaghetti Western, Action, Drama, Western;Italy;Italian;;;;;
Monique, mein heißer Schoß;1978;3,5;Comedy, Romance;Austria, France;German;;;;;
Along the Night;1978;6,5;Drama, Romance;Iran;Persian;;;;;
Cleopatra;1963;7;Desert Adventure, Docudrama, Historical Epic, Biography, Drama, History, Romance;United States, Switzerland;English;;;;;
The Great Escape;1963;8,2;Period Drama, Prison Drama, War Epic, Adventure, Drama, Thriller, War;United States;English, German, French, Russian, Spanish;;;;;
The Raiders;1963;5,2;Western;United States;English;;;;;
Horror Castle;1963;5,8;Horror;Italy;Italian;;;;;
Heavens Above!;1963;6,7;Satire, Comedy;United Kingdom;English, Hindi, French, Italian;;;;;
Slave Queen of Babylon;1963;5,4;Drama, History;Italy;Italian;;;;;
Bitter Harvest;1963;6,2;Drama;United Kingdom;English;;;;;
My Seven Little Bares;1963;3,5;Drama;United Kingdom;English;;;;;
The Baby Carriage;1963;6,7;Drama;Sweden;Swedish;;;;;
Yellowstone Cubs;1963;6,7;Adventure, Family;United States;English;;;;;
Un roi sans divertissement;1963;7;Crime, Drama;France;French;;;;;
Herencia maldita;1963;5,6;Crime, Mystery, Western;Mexico;Spanish;;;;;
Of Whales, the Moon, and Men;1963;8,3;Documentary;Canada;French;;;;;
The Red Mantle;1967;6;Adventure, Drama;Denmark, Iceland, Sweden;Danish, Norwegian, Swedish, Latin;;;;;
The Ballad of Josie;1967;5,7;Comedy, Western;United States;English;;;;;
The Reluctant Astronaut;1967;6,3;Space SciFi, Comedy, Family, SciFi;United States;English;;;;;
Mini-Skirt Love;1967;4,7;Drama;United States;English;;;;;
A Covenant with Death;1967;6;Costume Drama, Legal Drama, Drama;United States;English, Spanish;;;;;
Africa: Texas Style;1967;5,3;Adventure, Western;United Kingdom, United States;English;;;;;
40 Guns to Apache Pass;1967;5,7;Classical Western, Adventure, Drama, Romance, Western;United States;English;;;;;
Venus in Furs;1967;4,6;Drama;United States;English;;;;;
Don't Wait, Django... Shoot!;1967;4,6;Spaghetti Western, Action, Western;Italy;Italian;;;;;
Mosby's Marauders;1967;6,2;Action, Adventure, History, War, Western;United States;English;;;;;
La Bamba;1987;6,9;Biography, Drama, Music;United States;English, Spanish;;;;;
The Last Emperor;1987;7,7;Docudrama, Historical Epic, Period Drama, Biography, Drama, History;China, Italy, United Kingdom, France;English, Mandarin, Japanese, French;;;;;
Can't Buy Me Love;1987;6,8;Romantic Comedy, Teen Comedy, Teen Drama, Teen Romance, Comedy, Drama, Romance;United States, Indonesia;English;;;;;
The Brave Little Toaster;1987;7,2;HandDrawn Animation, Adventure, Animation, Family, Fantasy, Musical;United States, Japan, Taiwan;English;;;;;
Zombie Nightmare;1987;2,7;Fantasy, Horror;Canada;English;;;;;
Walker;1987;6,6;Biography, Drama, History, Western;Mexico, United States;English, Spanish, American Sign Language;;;;;
The Moromete Family;1987;8,8;Drama;Romania;Romanian;;;;;
Chronicle of a Death Foretold;1987;6,6;Drama;Italy, France, Colombia;Italian;;;;;
Reflections;1987;7,7;Drama, Horror, Romance, Thriller;Yugoslavia, United Kingdom;SerboCroatian, Esperanto;;;;;
Tragic Hero;1987;6,4;Action, Crime, Drama, Thriller;Hong Kong;Cantonese, Mandarin;;;;;
High Tide;1987;7,1;Drama;Australia;English;;;;;
Yeelen;1987;6,9;Drama, Fantasy;Mali, France, Burkina Faso, West Germany;Bambara, Fulah;;;;;
Desperado;1995;7,1;Contemporary Western, Drug Crime, Gun Fu, OnePerson Army Action, Action, Crime, Drama, Thriller, Western;United States, Mexico;English, Spanish;;;;;
Kiss of Death;1995;5,9;Crime, Drama, Thriller;United States;English;;;;;
My Family;1995;7,3;Drama;United States;English, Spanish;;;;;
Funny Bones;1995;6,7;Dark Comedy, Comedy, Drama;United Kingdom, United States;English;;;;;
Denise Calls Up;1995;6,6;Comedy;United States;English;;;;;
The Neon Bible;1995;6,2;Drama;United Kingdom, Spain;English;;;;;
Fatal Pursuit;1995;3,7;Crime, Drama, Thriller;United States;English;;;;;
A Chinese Odyssey: Part One - Pandora's Box;1995;7,5;Wuxia, Action, Adventure, Comedy, Drama, Fantasy;Hong Kong, China;Cantonese;;;;;
Lumière and Company;1995;6,9;Documentary, Drama;France, Denmark, Spain, Sweden;French, English, Danish, Norwegian, Swedish, Greek, Japanese, Mandarin;;;;;
The Quare Fellow;1962;6,8;Crime, Drama;United Kingdom;English;;;;;
Deadly Duo;1962;5,4;Mystery;United States;English;;;;;
Satan in High Heels;1962;5,6;Drama;United States;English;;;;;
Women of Devil's Island;1962;4,2;Action, Adventure, Drama;Italy, France;Italian;;;;;
The Tale of Zatoichi Continues;1962;7,2;Samurai, Action, Adventure, Drama;Japan;Japanese;;;;;
Maciste contro i mostri;1962;4,1;Action, Adventure, Fantasy, Romance;Italy, Yugoslavia;Italian;;;;;
Nine Days of One Year;1962;7,5;Drama;Soviet Union;Russian;;;;;
Heaven and Earth Magic;1962;5,1;Animation, Fantasy;United States;English;;;;;
Everything Everywhere All at Once;2022;7,8;Adventure Epic, Dark Comedy, Martial Arts, SciFi Epic, Action, Adventure, Comedy, Fantasy, SciFi;United States;English, Mandarin, Cantonese;;;;;
Terrifier 2;2022;6,1;Slasher Horror, Splatter Horror, Supernatural Horror, Teen Horror, Horror;United States;English;;;;;
Firestarter;2022;4,6;Drama, Horror, SciFi, Thriller;United States;English;;;;;
The Inspection;2022;6,7;Drama;United States;English;;;;;
Framing Agnes;2022;6,8;Documentary;Canada, United States;English;;;;;
Black Ice;2022;6,3;Sports Documentary, Documentary, Sport;United States;English;;;;;
Return to Dust;2022;7,6;Drama;China;Mandarin;;;;;
Fiddler's Journey to the Big Screen;2022;7,7;Documentary;United States;English;;;;;
Sniper. The White Raven;2022;6,4;Drama, War;Ukraine;Ukrainian, Russian;;;;;
Prancer: A Christmas Tale;2022;6,1;Drama, Family, Fantasy;United States;English;;;;;
Vendetta;2022;3,7;OnePerson Army Action, Action, Thriller;United States;English;;;;;
Jingle Bells;2022;5,5;Holiday Comedy, Comedy, Holiday;Finland;Finnish;;;;;
Three Men and a Little Lady;1990;5,5;Comedy, Drama, Family, Romance;United States;English;;;;;
Goodfellas;1990;8,7;Docudrama, Gangster, True Crime, Biography, Crime, Drama;United States;English, Italian, Hebrew, Yiddish;;;;;
Rocky V;1990;5,4;Boxing, Drama, Sport;United States;English, Italian;;;;;
Hamlet;1990;6,7;Drama;United Kingdom, France, Japan, United States;English;;;;;
Bad Influence;1990;6,3;Erotic Thriller, Psychological Drama, Psychological Thriller, Drama, Thriller;United States;English;;;;;
Q&A;1990;6,6;Crime, Drama, Thriller;United States;English, Spanish;;;;;
Nuns on the Run;1990;6;Comedy, Crime;United Kingdom;English, Cantonese;;;;;
May Fools;1990;7,2;Dark Comedy, Satire, Comedy, Romance;France, Italy;French, English;;;;;
Hidden Agenda;1990;6,9;Political Thriller, Drama, Thriller;United Kingdom;English;;;;;
The Match Factory Girl;1990;7,5;Comedy, Crime, Drama;Finland, Sweden;Finnish;;;;;
Quiet Days in Clichy;1990;4,8;Drama;France, Italy, Germany;French;;;;;
Whispers;1990;4,5;Horror, Mystery, Thriller;Canada;English;;;;;
The Voyage of Captain Fracassa;1990;7,3;Swashbuckler, Adventure, Comedy, History;Italy, France;Italian;;;;;
The Holiday;2006;7;FeelGood Romance, Holiday Comedy, Holiday Romance, Romantic Comedy, Comedy, Holiday, Romance;United States;English;;;;;
The Texas Chainsaw Massacre: The Beginning;2006;5,8;Slasher Horror, Horror;United States;English;;;;;
Take the Lead;2006;6,6;Drama, Music;United States;English;;;;;
For Your Consideration;2006;6,3;Mockumentary, Satire, Comedy;United States;English, French;;;;;
Black Book;2006;7,7;Period Drama, Spy, Drama, Thriller, War;Netherlands, Germany, United Kingdom, Belgium, France, United States;Dutch, German, English, Hebrew;;;;;
Find Me Guilty;2006;7;True Crime, Biography, Comedy, Crime, Drama;Germany, United States;English;;;;;
The Flying Scotsman;2006;7;Drama, Sport;United Kingdom, Germany;English;;;;;
Valley of the Heart's Delight;2006;5,4;Drama;United States;English;;;;;
Fireworks Wednesday;2006;7,6;Drama, Mystery, Romance, Thriller;Iran;Persian;;;;;
Dirty Laundry;2006;6,2;Comedy, Drama, Romance;United States;English, French;;;;;
One to Another;2006;5,7;Drama;France, Denmark;French;;;;;
Getting Straight;1970;6,3;Satire, Comedy, Drama, Romance;United States;English;;;;;
Mera Naam Joker;1970;7,9;Comedy, Drama;India;Hindi;;;;;
The Most Beautiful Wife;1970;7,1;Crime, Drama;Italy;Italian;;;;;
The Man Who Haunted Himself;1970;6,4;Drama, Mystery, Thriller;United Kingdom;English;;;;;
House of Dark Shadows;1970;6,2;Supernatural Horror, Drama, Fantasy, Horror, Romance, SciFi, Thriller;United States;English;;;;;
And God Said to Cain...;1970;6,7;Spaghetti Western, Horror, Western;Italy, West Germany;Italian;;;;;
Tropic of Cancer;1970;5,6;Biography, Drama;United States;English;;;;;
Sex-Power;1970;6;Drama, Romance;France;French, German, English;;;;;
The Christine Jorgensen Story;1970;5,6;Biography, Drama, Romance;United States;English;;;;;
Heer Raanjha;1970;7,2;Drama, Family, Musical, Romance;India;Hindi;;;;;
Weekend with the Babysitter;1970;4,3;Drama;United States;English;;;;;
King Lear;1970;7,2;Tragedy, Drama;United Kingdom, Denmark;English;;;;;
Up Your Teddy Bear;1970;3,6;Dark Comedy, Slapstick, Comedy, Fantasy, Romance;United States;English;;;;;
Scream of the Demon Lover;1970;5,2;Horror;Italy, Spain;Italian;;;;;
Norma;1970;4,7;Drama;United States;English;;;;;
The Ring Two;2005;5,4;Supernatural Horror, Horror, Mystery;United States;English;;;;;
Syriana;2005;6,9;Political Thriller, Spy, Drama, Thriller;United States, United Arab Emirates;English, Urdu, Arabic, Persian, French, Mandarin;;;;;
Hostel;2005;5,9;Slasher Horror, Splatter Horror, Horror;United States, Czech Republic;English, Czech, German, Dutch, Slovak, Japanese, Icelandic, Russian, Spanish;;;;;
Proof;2005;6,7;Drama, Mystery;United States;English;;;;;
Sarah Silverman: Jesus Is Magic;2005;6,5;StandUp, Comedy, Documentary, Music;United States;English;;;;;
Kids in America;2005;5,6;Comedy;United States;English;;;;;
Don't Come Knocking;2005;6,6;Drama, Music;United Kingdom, France, Germany, United States;English;;;;;
Shooting Dogs;2005;7,6;Drama, History, War;United Kingdom, Germany;English, French;;;;;
The War Within;2005;6,8;Drama;United States;English;;;;;
Sunburn;1979;5;Action, Comedy, Crime;United Kingdom, United States;English, German;;;;;
Tourist Trap;1979;6;Slasher Horror, Horror;United States;English;;;;;
Human Experiments;1979;4,5;Crime, Horror, Thriller;United States;English;;;;;
The Humanoid;1979;3,9;Fantasy, Mystery, SciFi;Italy;English, Italian;;;;;
The Sadist of Notre Dame;1979;5,1;Horror;Belgium, France, Spain;Spanish;;;;;
Incoming Freshmen;1979;4,2;Comedy;United States;English;;;;;
Monique;1979;5,2;Horror, Thriller;France, United States;English, French;;;;;
22 Jump Street;2014;7;Buddy Cop, Action, Comedy, Crime;United States;English, Spanish, Ukrainian;;;;;
Seventh Son;2014;5,5;Dark Comedy, Dark Fantasy, Action, Adventure, Fantasy;United States, United Kingdom, Canada, China;English;;;;;
The Quiet Ones;2014;5,1;Horror, Mystery, Thriller;United Kingdom, United States;English;;;;;
Goodnight Mommy;2014;6,7;Psychological Horror, Tragedy, Horror, Mystery, Thriller;Austria;German;;;;;
Love on the Cloud;2014;4;Comedy;China;Chinese, Mandarin;;;;;
Gemma Bovery;2014;6,4;Comedy, Drama, Romance;France, United Kingdom;French, English;;;;;
The Connection;2014;7,1;True Crime, Action, Crime, Thriller;France, Belgium;French, Italian, English;;;;;
God the Father;2014;5;Documentary;United States;English;;;;;
Black Souls;2014;6,8;Crime, Drama;Italy, France;Italian;;;;;
The Kindergarten Teacher;2014;6,6;Drama;Israel, France;Hebrew;;;;;
After;2014;4,8;Drama, Mystery;United States;English;;;;;
Stavisky;1974;6,5;Biography, Crime, Drama;France, Italy;French, English;;;;;
The Taking of Pelham One Two Three;1974;7,6;Caper, Dark Comedy, Action, Crime, Thriller;United States;English, Spanish;;;;;
Caged Heat;1974;5,3;Satire, Action, Comedy, Drama;United States;English;;;;;
Blue Eyes of the Broken Doll;1974;6;Slasher Horror, Crime, Horror, Mystery, Thriller;Spain;Spanish;;;;;
The Devil in Miss Jonas;1974;4,7;Horror, Mystery;Switzerland;German;;;;;
Street Law;1974;6,9;Action, Thriller;Italy;English, Italian;;;;;
Shadowman;1974;6,1;Crime, Mystery;France, Italy;French;;;;;
The Woman in Red Boots;1974;6,1;Comedy, Drama, Fantasy;France, Italy, Spain;French;;;;;
Yuka;1974;3,9;Adventure;France;French;;;;;
Policewomen;1974;5,2;Action, Crime, Romance, Thriller;United States;English;;;;;
Five Women for the Killer;1974;5,6;Horror, Mystery, Thriller;Italy, France;Italian;;;;;
UFOs: Past, Present, and Future;1974;7,5;Documentary;United States;English;;;;;
Jáchyme, hod ho do stroje!;1974;7,6;Farce, Comedy;Czechoslovakia;Czech, Japanese;;;;;
Random Hearts;1999;5,4;Dark Romance, Suspense Mystery, Tragedy, Drama, Mystery, Romance;Germany, United States;English;;;;;
The Story of Us;1999;6;Romantic Comedy, Comedy, Drama, Romance;United States;English, Italian;;;;;
The Love Letter;1999;5,5;Comedy, Drama, Romance;United States;English;;;;;
Beautiful People;1999;6,7;Comedy, Drama, War;United Kingdom;English;;;;;
Set Me Free;1999;6,9;ComingofAge, Period Drama, Teen Drama, Teen Romance, Drama, Romance;Canada, Switzerland, France;French;;;;;
Beyond Beautiful;1999;;;;;;;;;
Christmas Vacation 2000;1999;4,4;Comedy, Romance;Italy;Italian;;;;;
Sooryavansham;1999;6,4;Action, Drama;India;Hindi;;;;;
The Omen;1976;7,5;Supernatural Horror, Horror, Mystery;United Kingdom, United States;English, Latin, Italian;;;;;
Bobbie Jo and the Outlaw;1976;5,4;Crime, Drama, Romance, Thriller;United States;English;;;;;
Bound for Glory;1976;7,2;Biography, Drama, Music;United States;English;;;;;
Jackson County Jail;1976;6,1;Action, Crime, Drama, Thriller;United States;English;;;;;
Submission;1976;6,3;Drama, War;Italy;English;;;;;
The Seven-Per-Cent Solution;1976;6,6;Period Drama, Adventure, Comedy, Crime, Drama, Mystery, Thriller;United Kingdom, United States;Turkish, English, German, French;;;;;
Emily;1976;4,5;Drama, Romance;United Kingdom;English;;;;;
Baby Blue Marine;1976;6,1;Drama;United States;English;;;;;
Snatch;1976;5,6;Crime, Drama, Thriller;Italy;Italian;;;;;
Bloodlust;1976;5,5;Horror;Switzerland, West Germany;German;;;;;
Leadbelly;1976;7,2;Biography, Drama, Music;United States;English;;;;;
Lullaby of the Earth;1976;6,9;Drama;Japan;Japanese;;;;;
Noroît;1976;6,7;Adventure, Drama, Fantasy, Thriller;France;French, English;;;;;
Pokémon: The First Movie - Mewtwo Strikes Back;1998;6,3;Animal Adventure, Anime, HandDrawn Animation, Action, Adventure, Animation, Family, Fantasy, SciFi;Japan;Japanese, English;;;;;
Savior;1998;7,2;Drama, War;United States;English, Serbian, French;;;;;
23;1998;7,2;Drama, Thriller;Germany;German, English, Russian;;;;;
Chained Heat 3: Hell Mountain;1998;3,5;Action, Drama, Horror, Thriller;Czech Republic, Canada;English;;;;;
Some Girl;1998;5,6;Comedy, Drama, Romance;United States;English;;;;;
Wheels;1998;7,5;Dark Comedy, Psychological Thriller, Comedy, Drama, Thriller;Federal Republic of Yugoslavia;Serbian;;;;;
Blue City;1986;4,4;Action, Crime, Drama;United States;English;;;;;
What Every Frenchwoman Wants;1986;5,6;Comedy;Italy, France;Italian, French;;;;;
Necropolis;1986;3,8;Fantasy, Horror;United States;English;;;;;
Miracles;1986;5,2;Comedy;Mexico, United States;English;;;;;
Butterflies in Heat;1986;4,4;Drama;United States;English;;;;;
My Aunt;1986;7,5;ComingofAge, Psychological Drama, Tragedy, Drama;Turkey;Turkish;;;;;
The Hunger Games: Catching Fire;2013;7,5;Dystopian SciFi, Action, Adventure, SciFi, Thriller;United States;English;;;;;
Elysium;2013;6,6;Cyberpunk, Dystopian SciFi, SciFi Epic, Action, Drama, SciFi, Thriller;United States, Canada;English, Spanish, French, Afrikaans;;;;;
Ida;2013;7,4;;;;;;;;
The Saratov Approach;2013;5,5;Action, Drama, Thriller;United States, Ukraine;English, Russian;;;;;
Repentance;2013;4,9;Drama, Horror, Thriller;United States;English;;;;;
Alone Yet Not Alone;2013;4,7;Action, Drama, History, Romance, War;United States;English, German;;;;;
Phata Poster Nikhla Hero;2013;4,9;Action, Comedy, Drama;India;Hindi;;;;;
Not Today;2013;5,5;Drama;United States;English;;;;;
Code Black;2013;7,3;Documentary, Drama;United States;English;;;;;
Mistaken for Strangers;2013;7,3;Comedy, Documentary, Music;United States;English;;;;;
Mission: Impossible - Dead Reckoning Part One;2023;7,7;Action Epic, Adventure Epic, Spy, Action, Adventure, Thriller;United States;English, French, Italian, Russian;;;;;
The Creator;2023;6,7;Action Epic, Adventure Epic, Artificial Intelligence, Cyberpunk, Dystopian SciFi, SciFi Epic, Action, Adventure, Drama, SciFi;United States;English, Thai;;;;;
Ferrari;2023;6,4;Docudrama, Motorsport, Biography, Drama, History, Sport;United States, United Kingdom, Italy, Saudi Arabia;English;;;;;
