Título;Ano;Nota IMDb;Gênero;País de Origem;Idioma;;;;;
The Amorous Sisters;1982;4,9;Comedy;Switzerland;German;;;;;
Nightkill;1980;5,5;Crime, Horror, Mystery, Thriller;United States, West Germany;English;;;;;
Zübük;1980;8,5;Comedy;Turkey;Turkish;;;;;
Confidence;1980;7,5;Drama;Hungary;Hungarian, German;;;;;
Girls;1980;5,2;Drama;Canada, France, West Germany;French;;;;;
Quello strano desiderio;1980;4,6;Comedy, SciFi;Italy;Italian;;;;;
Challengers;2024;7,1;Psychological Drama, Steamy Romance, Comedy, Drama, Romance, Sport;Italy, United States;English, Romanian;;;;;
The Exorcism;2024;4,2;Psychological Horror, Supernatural Horror, Horror, Thriller;United States;English;;;;;
Bird;2024;7,1;ComingofAge, Drama;United Kingdom, United States, France, Germany;English;;;;;
Crossing;2024;7,5;Drama;Sweden, Denmark, France, Turkey, Georgia;Georgian, Turkish, English;;;;;
The Last Showgirl;2024;6,1;Drama;United States;English;;;;;
Rajkumar;2024;7,3;Drama, Family, Romance;Bangladesh;Bengali;;;;;
Pastor's Kid;2024;6,5;Biography, Drama;United States;English;;;;;
Mind Body & Soul;2024;7,5;Comedy;United States;English;;;;;
Jackpot!;2024;5,8;Buddy Comedy, Dark Comedy, Slapstick, Action, Comedy;United States;English;;;;;
Armand;2024;6,4;Psychological Drama, Drama;Norway, Netherlands, Germany, Sweden, United Kingdom;Norwegian, English;;;;;
Diamanti;2024;7,1;Comedy, Drama;Italy;Italian;;;;;
Mea Culpa;2024;4,2;Erotic Thriller, Crime, Drama, Thriller;United States;English;;;;;
All the Lost Ones;2024;4,3;Drama, SciFi, Thriller;Canada;English;;;;;
Brewster's Millions: Christmas;2024;5,7;Family;United States;English;;;;;
Colors of Evil: Red;2024;6,4;Crime, Drama, Mystery, Thriller;Poland;Polish;;;;;
Ricochet;1991;6,2;Cop Drama, Action, Crime, Drama, Thriller;United States;English, Spanish, German, French;;;;;
Career Opportunities;1991;5,8;FeelGood Romance, Romantic Comedy, Comedy, Romance;United States;English;;;;;
Dice Rules;1991;5,3;StandUp, Comedy, Documentary;United States;English;;;;;
Danzón;1991;6,8;Drama;Mexico, Spain;Spanish;;;;;
A Scene at the Sea;1991;7,5;Comedy, Drama, Romance, Sport;Japan;Japanese;;;;;
Grand Tour: Disaster in Time;1991;6,4;Dark Comedy, Mystery, SciFi;United States;English;;;;;
Den ofrivillige golfaren;1991;5,7;Comedy, Sport;Sweden, United Kingdom;Swedish, Norwegian, English;;;;;
The Hideaway;1991;6,6;Drama;Denmark, Sweden;Danish;;;;;
Major League;1989;7,2;Baseball, Comedy, Sport;United States;English, Spanish, Japanese;;;;;
Sex, Lies, and Videotape;1989;7,2;Dark Comedy, Drama;United States;English;;;;;
Communion;1989;5,5;Biography, Drama, Horror, SciFi, Thriller;United States, United Kingdom;English;;;;;
Night Game;1989;5;Crime, Drama, Horror, Mystery, Thriller;United States;English;;;;;
Animal Behavior;1989;3,9;Comedy, Romance;United States;English;;;;;
Far from Home;1989;5,5;Crime, Drama, Mystery, Thriller;United States;English;;;;;
Urotsukidoji: Legend of the Overfiend;1989;6,3;Adult Animation, Anime, Dark Comedy, Animation, Fantasy, Horror, Romance;Japan;Japanese;;;;;
Snake Eater;1989;4,5;Action;Canada;English;;;;;
The Meeting Point;1989;8,2;Satire, Comedy, Drama, Fantasy;Yugoslavia;SerboCroatian;;;;;
Eversmile New Jersey;1989;5,4;Comedy, Drama, Romance;Argentina, United Kingdom;English;;;;;
I Want to Go Home;1989;5,4;Satire, Comedy;France;French, English;;;;;
Batwara;1989;6,3;Action, Drama;India;Hindi;;;;;
Life as We Know It;2010;6,5;Romantic Comedy, Comedy, Drama, Romance;United States;English;;;;;
The Last Exorcism;2010;5,7;Found Footage Horror, Supernatural Horror, Horror, Mystery, Thriller;France, United States;English, Latin;;;;;
Of Gods and Men;2010;7,2;Drama, History;France;French, Arabic;;;;;
Housefull;2010;5,6;Comedy, Drama;India;Hindi;;;;;
Love Crime;2010;6,5;Psychological Thriller, Crime, Drama, Mystery, Thriller;France, United States;French, English, Japanese;;;;;
The Nutcracker: The Untold Story;2010;4,1;Action, Family, Fantasy, Musical;United Kingdom, Hungary, Russia, Hong Kong, Italy, United States, Czech Republic, Canada, Netherlands, Switzerland;English;;;;;
The Big Picture;2010;6,6;Drama, Thriller;France;French, Serbian, English;;;;;
Exporting Raymond;2010;6,8;Comedy, Documentary;United States, Russia;Russian, English;;;;;
The Human Resources Manager;2010;6,6;Comedy, Drama;Israel, Germany, France, Romania;Hebrew, English, Romanian, French;;;;;
Film socialisme;2010;5,7;Drama;Switzerland, France;French, German, English, Italian, Russian, Spanish, Latin, Arabic, Bambara, Hebrew, Greek;;;;;
John Q;2002;7,1;Medical Drama, Crime, Drama, Thriller;United States;English, Spanish;;;;;
Showtime;2002;5,5;Buddy Cop, Action, Comedy, Crime;United States, Australia;English;;;;;
Analyze That;2002;5,9;Buddy Comedy, Comedy, Crime;United States;English;;;;;
Devdas;2002;7,5;Drama, Musical, Romance;India;Hindi;;;;;
Respiro;2002;7;Drama;Italy, France;Italian, Sicilian;;;;;
