ID_Filme;title;rating;release_date;countries_origin;genres;languages
11238;A Moment of Innocence;77;quinta-feira, 4 de setembro de 1997;Iran, France;Comedy, Drama;Persian
11360;Mirovoe imya;0;quarta-feira, 1 de janeiro de 1930;Soviet Union;Comedy, Drama;Russian, None
11499;Mahjong;74;sexta-feira, 12 de julho de 1996;Taiwan;Comedy, Drama;Mandarin, Min Nan, English
11613;Try Seventeen;60;sábado, 4 de janeiro de 2003;Canada, United States;Comedy, Drama;English, German
11798;Antonia's Line;74;sexta-feira, 2 de fevereiro de 1996;Netherlands, Belgium, United Kingdom, France;Comedy, Drama;Dutch
12322;In the Middle of the Night;68;segunda-feira, 3 de setembro de 1984;Denmark;Comedy, Drama;Danish
12416;Emma's Shadow;68;segunda-feira, 2 de maio de 1988;Denmark;Comedy, Drama;Danish
12418;A mi madre le gustan las mujeres;62;sexta-feira, 1 de novembro de 2002;Spain;Comedy, Drama;Spanish, Czech
12465;Diskret Ophold;72;quarta-feira, 8 de maio de 1946;Denmark;Comedy, Drama;Danish
12701;Whole New Thing;67;terça-feira, 1 de agosto de 2006;Canada;Comedy, Drama;English, French, Spanish
12779;SÃ¸ren SÃ¸ndervold;68;quarta-feira, 8 de julho de 1942;Denmark;Comedy, Drama;Danish
12827;Kadosh;69;quarta-feira, 6 de outubro de 1999;Israel, France;Comedy, Drama;Hebrew
12937;A Super FÃªmea;42;segunda-feira, 1 de janeiro de 1973;Brazil;Comedy, Drama;Portuguese
13135;Pushing Hands;72;sexta-feira, 12 de julho de 1991;Taiwan, United States;Comedy, Drama;Mandarin, English
13283;One Week and a Day;67;terça-feira, 9 de agosto de 2016;Israel;Comedy, Drama;Hebrew
13579;Topsy Turvy;51;domingo, 10 de julho de 1983;Denmark;Comedy, Drama;Danish
13941;Al qods fee yom akhar;65;terça-feira, 8 de julho de 2003;Occupied Palestinian Territory, Netherlands, United Arab Emirates;Comedy, Drama;Arabic
14091;Alles op tafel;66;domingo, 11 de abril de 2021;Netherlands;Comedy, Drama;Dutch
14103;Swedenhielms;57;quinta-feira, 9 de maio de 1935;Sweden;Comedy, Drama;Swedish
14630;Early Works;69;quarta-feira, 3 de novembro de 1971;Yugoslavia;Comedy, Drama;Serbo-Croatian
14694;Putkinotko;63;sábado, 9 de outubro de 1954;Finland;Comedy, Drama;Finnish
14769;Ismail Yasin fi el-Ustool;69;segunda-feira, 11 de novembro de 1957;Egypt;Comedy, Drama;Arabic
14940;Drifting Clouds;76;quarta-feira, 7 de outubro de 1998;Finland, Germany, France;Comedy, Drama;Finnish, Swedish, English
15001;Hermia & Helena;59;quarta-feira, 8 de março de 2017;Argentina, United States;Comedy, Drama;English, Spanish
15135;Master of the House;70;domingo, 10 de maio de 1925;Denmark;Comedy, Drama;Danish
15214;Alila;62;sexta-feira, 10 de janeiro de 2003;Israel, France;Comedy, Drama;Hebrew, English
15412;Lions Love (... and Lies);58;sábado, 12 de setembro de 1970;France, United States;Comedy, Drama;English, French
15611;Instructions Not Included;75;domingo, 9 de junho de 2013;Mexico;Comedy, Drama;Spanish, English
15617;The Naked Citizen;75;terça-feira, 1 de janeiro de 1985;Turkey;Comedy, Drama;Turkish
15671;O Olho MÃ¡gico do Amor;54;terça-feira, 3 de agosto de 1982;Brazil;Comedy, Drama;Portuguese
16481;What a Woman!;60;quinta-feira, 2 de fevereiro de 1956;Italy, France;Comedy, Drama;Italian, English
16679;Pearls of the Deep;65;sexta-feira, 1 de julho de 1966;Czechoslovakia;Comedy, Drama;Czech, Romany, English
16687;Happiness;73;quinta-feira, 4 de julho de 1935;Soviet Union;Comedy, Drama;None
16767;Serge;77;quinta-feira, 8 de dezembro de 1960;Soviet Union;Comedy, Drama;Russian
16777;ArchimÃ¨de, le clochard;66;terça-feira, 4 de agosto de 1959;France, Italy;Comedy, Drama;French, Italian, English
17058;In Custody;71;domingo, 5 de junho de 1994;United Kingdom, India;Comedy, Drama;Urdu, Hindi
17265;Bilo the Banker;76;terça-feira, 1 de janeiro de 1980;Turkey;Comedy, Drama;Turkish
17280;The Day He Arrives;70;terça-feira, 9 de agosto de 2011;South Korea;Comedy, Drama;Korean
17318;How I Was Systematically Destroyed by an Idiot;74;sábado, 7 de maio de 1983;Yugoslavia;Comedy, Drama;Serbo-Croatian
18634;The Human Resources Manager;66;domingo, 3 de abril de 2011;Israel, Germany, France, Romania;Comedy, Drama;Hebrew, English, Romanian, French
18674;Girls vs Gangsters;33;sábado, 3 de fevereiro de 2018;China, Hong Kong;Comedy, Drama;Mandarin
18733;Kamiondzije opet voze;80;sexta-feira, 4 de maio de 1984;Yugoslavia;Comedy, Drama;Serbo-Croatian
18940;On Becoming a Guinea Fowl;72;quarta-feira, 12 de junho de 2024;United Kingdom, Zambia, Ireland, United States;Comedy, Drama;English, Bemba
19367;Mongolian Ping Pong;65;quarta-feira, 8 de março de 2006;China;Comedy, Drama;Mongolian
19524;En piga bland pigor;58;sábado, 12 de janeiro de 1924;Sweden;Comedy, Drama;None
19843;A Soap;64;terça-feira, 4 de julho de 2006;Denmark, Sweden;Comedy, Drama;Danish, English
19934;Sweet Dreams;69;sexta-feira, 9 de outubro de 1981;Italy;Comedy, Drama;Italian, German
20156;Puck;59;domingo, 11 de janeiro de 1942;Finland;Comedy, Drama;Finnish
20258;The Black Sea;80;terça-feira, 3 de setembro de 2024;United States, Bulgaria;Comedy, Drama;English, Bulgarian
